College,Subject,Year,Social Propensity,Club Propensity,Disease State,Adapted Group Size,Gender,Assigned,Group ID,Group Size
Christ's,Architecture Tripos,1,0,0,0,7,Male,True,1.0,7
Christ's,Architecture Tripos,1,0,0,0,6,Female,True,2.0,6
Christ's,Architecture Tripos,2,0,0,0,4,Female,True,23.0,4
Christ's,Architecture Tripos,2,0,0,0,5,Male,True,4.0,5
Christ's,Architecture Tripos,3,0,0,0,6,Female,True,53.0,7
Christ's,Architecture Tripos,3,0,0,0,6,Female,True,52.0,10
Christ's,Asian & Middle Eastern Studies,1,0,0,0,6,Female,True,1.0,7
Christ's,Asian & Middle Eastern Studies,2,0,0,0,6,Female,True,3.0,4
Christ's,Asian & Middle Eastern Studies,3,0,0,0,5,Female,True,5.0,6
Christ's,Chem Eng via Engineering,1,0,0,0,4,Male,True,1.0,7
Christ's,Chem Eng via Engineering,2,0,0,0,5,Male,True,3.0,4
Christ's,Chem Eng via Engineering,3,0,0,0,7,Male,True,5.0,6
Christ's,Chem Eng via Engineering,4,0,0,0,7,Male,True,7.0,7
Christ's,Chem Eng via Nat Sciences,1,0,0,0,5,Female,True,56.0,5
Christ's,Chem Eng via Nat Sciences,2,0,0,0,5,Male,True,3.0,4
Christ's,Chem Eng via Nat Sciences,3,0,0,0,7,Male,True,34.0,8
Christ's,Classical Tripos,1,0,0,0,8,Female,True,19.0,6
Christ's,Classical Tripos,1,0,0,0,12,Male,True,1.0,7
Christ's,Classical Tripos,1,0,0,0,7,Male,True,2.0,6
Christ's,Classical Tripos,1,0,0,0,8,Female,True,15.0,7
Christ's,Classical Tripos,2,0,0,0,8,Male,True,61.0,7
Christ's,Classical Tripos,2,0,0,0,7,Male,True,42.0,8
Christ's,Classical Tripos,2,0,0,0,8,Female,True,8.0,8
Christ's,Classical Tripos,2,0,0,0,7,Female,True,4.0,5
Christ's,Classical Tripos,3,0,0,0,8,Female,True,32.0,7
Christ's,Classical Tripos,3,0,0,0,8,Male,True,5.0,6
Christ's,Classical Tripos,3,0,0,0,7,Male,True,54.0,5
Christ's,Classical Tripos,3,0,0,0,7,Female,True,6.0,6
Christ's,Classical Tripos Four Year,1,0,0,0,7,Female,True,1.0,7
Christ's,Classical Tripos Four Year,1,0,0,0,7,Female,True,2.0,6
Christ's,Classical Tripos Four Year,2,0,0,0,8,Female,True,8.0,8
Christ's,Classical Tripos Four Year,2,0,0,0,9,Female,True,47.0,6
Christ's,Classical Tripos Four Year,3,0,0,0,9,Female,True,31.0,10
Christ's,Classical Tripos Four Year,3,0,0,0,10,Female,True,6.0,6
Christ's,Classical Tripos Four Year,4,0,0,0,6,Male,True,26.0,5
Christ's,Classical Tripos Four Year,4,0,0,0,10,Female,True,65.0,3
Christ's,Computer Science Tripos,1,0,0,0,2,Male,True,10.0,5
Christ's,Computer Science Tripos,1,0,0,0,6,Male,True,2.0,6
Christ's,Computer Science Tripos,1,0,0,0,5,Male,True,48.0,6
Christ's,Computer Science Tripos,1,0,0,0,4,Male,True,11.0,4
Christ's,Computer Science Tripos,2,0,0,0,3,Male,True,8.0,8
Christ's,Computer Science Tripos,2,0,0,0,4,Male,True,43.0,6
Christ's,Computer Science Tripos,2,0,0,0,3,Male,True,8.0,8
Christ's,Computer Science Tripos,2,0,0,0,5,Female,True,23.0,4
Christ's,Computer Science Tripos,3,0,0,0,5,Male,True,6.0,6
Christ's,Computer Science Tripos,3,0,0,0,5,Male,True,12.0,5
Christ's,Computer Science Tripos,3,0,0,0,6,Male,True,13.0,6
Christ's,Computer Science Tripos,3,0,0,0,7,Male,True,14.0,7
Christ's,Economics Tripos,1,0,0,0,8,Male,True,17.0,4
Christ's,Economics Tripos,1,0,0,0,6,Female,True,21.0,6
Christ's,Economics Tripos,1,0,0,0,7,Male,True,10.0,5
Christ's,Economics Tripos,1,0,0,0,6,Male,True,38.0,6
Christ's,Economics Tripos,1,0,0,0,6,Male,True,2.0,6
Christ's,Economics Tripos,1,0,0,0,7,Female,True,11.0,4
Christ's,Economics Tripos,2,0,0,0,5,Male,True,8.0,8
Christ's,Economics Tripos,2,0,0,0,6,Female,True,8.0,8
Christ's,Economics Tripos,2,0,0,0,7,Female,True,9.0,9
Christ's,Economics Tripos,2,0,0,0,6,Female,True,9.0,9
Christ's,Economics Tripos,2,0,0,0,8,Female,True,61.0,7
Christ's,Economics Tripos,2,0,0,0,5,Female,True,41.0,5
Christ's,Economics Tripos,3,0,0,0,7,Female,True,12.0,5
Christ's,Economics Tripos,3,0,0,0,9,Female,True,14.0,7
Christ's,Economics Tripos,3,0,0,0,6,Male,True,53.0,7
Christ's,Economics Tripos,3,0,0,0,6,Female,True,13.0,6
Christ's,Economics Tripos,3,0,0,0,7,Female,True,13.0,6
Christ's,Economics Tripos,3,0,0,0,7,Female,True,14.0,7
Christ's,Education Tripos,1,0,0,0,6,Female,True,39.0,7
Christ's,Education Tripos,2,0,0,0,9,Female,True,8.0,8
